collection,publication,year,issue_or_edition,filename,source_url,notes
Burlington Section GMC,RidgeLines,1994,RidgeLines January 1994,RidgeLines_January_1994.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-23-no-3.pdf,
Burlington Section GMC,RidgeLines,1994,RidgeLines March 1994,RidgeLines_March_1994.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-23-no-4.pdf,
Burlington Section GMC,RidgeLines,1994,RidgeLines June 1994,RidgeLines_June_1994.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-24-no-1.pdf,
Burlington Section GMC,RidgeLines,1994,RidgeLines Septemer 1994,RidgeLines_Septemer_1994.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-24-no-2.pdf,
Burlington Section GMC,RidgeLines,1995,RidgeLines January 1995,RidgeLines_January_1995.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-24-no-3.pdf,
Burlington Section GMC,RidgeLines,1995,RidgeLines March 1995,RidgeLines_March_1995.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-24-no-4.pdf,
Burlington Section GMC,RidgeLines,1995,RidgeLines June 1995,RidgeLines_June_1995.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-25-no-1.pdf,
Burlington Section GMC,RidgeLines,1995,RidgeLines September 1995,RidgeLines_September_1995.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-25-no-2.pdf,
Burlington Section GMC,RidgeLines,1996,RidgeLines January 1996,RidgeLines_January_1996.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-25-no-3.pdf,
Burlington Section GMC,RidgeLines,1996,RidgeLines March 1996,RidgeLines_March_1996.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-25-no-4.pdf,
Burlington Section GMC,RidgeLines,1996,RidgeLines June 1996,RidgeLines_June_1996.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-26-no-1.pdf,
Burlington Section GMC,RidgeLines,1996,RidgeLines September 1996,RidgeLines_September_1996.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-26-no-2.pdf,
Burlington Section GMC,RidgeLines,1997,RidgeLines January 1997,RidgeLines_January_1997.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-26-no-3.pdf,
Burlington Section GMC,RidgeLines,1997,RidgeLines March 1997,RidgeLines_March_1997.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-26-no-4.pdf,
Burlington Section GMC,RidgeLines,1997,RidgeLines June 1997,RidgeLines_June_1997.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-27-no-1.pdf,
Burlington Section GMC,RidgeLines,1997,RidgeLines September 1997,RidgeLines_September_1997.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-27-no-2.pdf,
Burlington Section GMC,RidgeLines,1998,RidgeLines January 1998,RidgeLines_January_1998.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-27-no-3.pdf,
Burlington Section GMC,RidgeLines,1998,RidgeLines March 1998,RidgeLines_March_1998.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-27-no-4.pdf,
Burlington Section GMC,RidgeLines,1998,RidgeLines June 1998,RidgeLines_June_1998.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-28-no-1.pdf,
Burlington Section GMC,RidgeLines,1998,RidgeLines September 1998,RidgeLines_September_1998.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-28-no-2.pdf,
Burlington Section GMC,RidgeLines,1999,RidgeLines January 1999,RidgeLines_January_1999.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-28-no-3.pdf,
Burlington Section GMC,RidgeLines,1999,RidgeLines March 1999,RidgeLines_March_1999.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-28-no-4.pdf,
Burlington Section GMC,RidgeLines,1999,RidgeLines June 1999,RidgeLines_June_1999.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-29-no-1.pdf,
Burlington Section GMC,RidgeLines,1999,RidgeLines September 1999,RidgeLines_September_1999.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-29-no-2.pdf,
Burlington Section GMC,RidgeLines,2000,RidgeLines January 2000,RidgeLines_January_2000.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-29-no-3.pdf,
Burlington Section GMC,RidgeLines,2000,RidgeLines March 2000,RidgeLines_March_2000.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-29-no-4.pdf,
